data_aniversário,autoriza_postagem_niver,idade,escolaridade,bairro_cidade,raca_etnia,genero,orientacao_sexual,tem_filhos,area_ti_ou_trasicao_carreira,situacao_profissional,profissionalmente_ativa,profissao_atual,renda_mensal,trabalha_estuda_com_tecnologia,programa_python,quanto_tempo_programa_python,tem_interesse_aprender,seu_nivel_python,ja_trabalhou_qual_segmento,ja_trabalhou_outras_tecnologias,como_conheceu_pyladies,ja_participou_evento,o_que_espera_comunidade,como_voce_pode_ajudar_comunidade,frequencia_participa_evento,quais_eventos_mais_gosta,qual_area_desperta_mais_interesse,ministrar_palestra_cursos,sobre_quais_assuntos,o_que_poderia_desperar_interesse_para_interagir_participar_mais,gostaria_participar_do_programa_mentoria,faz_parte_de_outra_comunidade,tem_experiencia_organizacao_evento,interesses,dificuldades_mulheres_na_ti,tipo_apoio_voce_espera_da_comunidade,prefere_trabalhar_em_projetos_individuais_ou_equipes,autoriza_autorizacao_manter_info,autorizacao_imagem,email_hash,nome_hash,contato_hash
13/04,Sim,Entre 31 e 40 anos,Graduação - concluído,Fortaleza/ Damas,Branca,Cisgênera,Heterossexual,Não,Contabilidade,Empreendedor(a),"Não estou procurando novo emprego/estágio/etc., mas aceito receber propostas","Sou contadora, sócia de uma empresa de contabilidade ",Entre 3 salários míninos a 7 salários míninos ( >= 4.236 e < 9.884 ),menos de 1 ano,Não,Não se aplica,Sim,Júnior,Não se aplica,"Nunca trabalhei efetivamente com nenhuma tecnologia, porém, estou estudando Python, Sql e PowerBi","Redes Sociais (Instagram, Facebook e etc)",Não,QUERO CONHECER OUTRAS PESSOAS QUE ASSIM COMO EU GOSTAM DE TECNOLOGIA,POSSO AJUDAR NA ORGANIZACAO DE EVENTOS ADORO FAZER ISSO POSSO AJUDAR EM QUESTOES BUROCRATICAS COMO ABERTURA DE CNPJ PARA A COMUNIDADE REGULARIZACAO DE QUESTOES SOCIETARIAS ENTRE OUTRAS,nula,Atividades lúdicas e recreativas;Workshops;Palestras;Tutoriais,Análise/Visualização de Dados;Data Science;Machine Learning,Sim,"Planejamento financeiro pessoal ou empresarial, tributação para trabalhadores PJ na área de tecnologia ","Já estou achando bastante interessante, mas poderiam ter encontros presenciais para maior interação entre o grupo ","Sim, como mentora e mentorada",Não ,Sim,"📚 (livros, representando interesses em leitura);⚽ (futebol, representando interesses esportivos);🌍 (viagens, para interesses em explorar o mundo)",FALTA DE OPORTUNIDADES PARA MULHERES,TREINAMENTOS CAPACITACOES DIVULGACAO DE VAGAS,"Gosto de trabalhar em equipe, acredito que muitas cabeças pensam melhor que uma ","Sim, autorizo!","Sim, autorizo!",082097016349cf6c7d81a52992181201f49e2474898ec7d5b44d585d173e7b77,b36af3dde3f7b20a52173b3072c2c22287b5c3af9d74b217029a7113e053ba5a,f23818a17770190abdfd67392c89dbde07e1af09ea632e5e76e66c1df2a773d6
25/11,Sim,Entre 25 e 30 anos,Pós Graduação Lato Sensu (Especialização/MBA/etc) - concluído,MARACANAÚ/PAJUÇARA ,Parda,Cisgênera,Pansexual,Não,Sou Bióloga e recentemente entrei na area de TI,Funcionária de empresa pública (concursada),Estou buscando ativamente novo emprego/estágio/etc.,Bióloga/ ACE,Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),menos de 1 ano,Sim,menos de 1 ano,Sim,Júnior,Data Science,"PHP, Java Script, Java",Indicação de amiga(o),Não,NULA,NULA,nula,Atividades lúdicas e recreativas;Workshops;Palestras;Tutoriais,Análise/Visualização de Dados;Data Science;Desenvolvimento Web;Segurança,Talvez,nula,nula,"Sim, como mentorada",Não ,Não,"🎨 (arte, representando interesses criativos);📚 (livros, representando interesses em leitura);🎶 (música, para interesses musicais);🍳 (culinária, para quem gosta de cozinhar);🌍 (viagens, para interesses em explorar o mundo);🧘‍♀️ (bem-estar, para práticas como yoga);🎮 (jogos, para quem curte videogames)",NULA,NULA,nula,"Sim, autorizo!","Sim, autorizo!",1dfcd3b555cb5d687a3e14cce90866be1de500a284af85a58d98e20039424b4e,525e91189f5dc32292ab27ba6ef14baa67450cb5dcb8e975ddbd8e5bfd3ff4e7,ff24406d87ea9290ee689d365e3e035f93165a8ff6b959b9dec3713ab001c6a2
26/07/1979,Não,Entre 41 e 50 anos,Pós Graduação Lato Sensu (Especialização/MBA/etc) - concluído,FORTALEZA/VICENTE PINZON ,Branca,Cisgênera,Heterossexual,Não,Sim,Funcionária de empresa privada (CLT/PJ),"Não estou procurando novo emprego/estágio/etc., mas aceito receber propostas",Técnico ,Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),Mais de 4 anos,Não,Não se aplica,Sim,Não se aplica,Não se aplica,Nunca trabalhei programando. ,"Redes Sociais (Instagram, Facebook e etc)",Não,ERA BOM EU APRENDER A PROGRAMAR E IR PARA ESSE MUNDO DE PROGRAMACAO UX UI PALESTRAS OU ALGO PARECIDO,EU NAO SEI,nula,"Qualquer um é apoio na organização de eventos, eu já participei como voluntária no DevOpsDays outra vez. ",Análise/Visualização de Dados;Big Data;Data Science;Desenvolvimento Web;IoT;Jogos;Machine Learning;Segurança;Testes;Web scrapping;Front-end,"Sim, tendo apoio e divindindo espaço da apresentação com outra pessoa","Não sei dizer. Ando meio dês. Motivada sabe. Mas der repente. É um assunto legal aí da certo, porque eu trabalho dando treinamentos e palestras tbm. Quando dá. ","Eu não sei, pois eu sou tímida e como não conheço muita gente, eu fico sem saber direito sabe. ","Sim, como mentora e mentorada",Não ,Sim,"🎨 (arte, representando interesses criativos);📚 (livros, representando interesses em leitura);🎶 (música, para interesses musicais);🍳 (culinária, para quem gosta de cozinhar);🌍 (viagens, para interesses em explorar o mundo);🧘‍♀️ (bem-estar, para práticas como yoga);🎮 (jogos, para quem curte videogames)",TO MEIO DESMOTIVADA E RUIM ESTUDAR SO,ACHO LEGAL OS GRUPOS DE ESTUDOS DESDE O RECICLAR TUDO ISSO ERA BOM PORQUE FAZ TEMPO QUE TERMINEI E TEM GENTE QUE TA ATUALIZADISSIMO DE AGORA ENTAO TENHO VERGONHA DE PERGUNTAR,Os dois. ,"Sim, autorizo!","Sim, autorizo!",b2356c5242eec7047af82c73d8164bf9a50145d289db54149759ea7281fbef39,9e1eb5885c251527e2d4503d0ae620808789576198b44efb38fe4fa639ec2c14,5db49c7efed87e8744eed9f7ca3c30651bd6e717e3dc14a6806ff815df8011fe
18/01/1993,Sim,Entre 31 e 40 anos,Graduação - cursando,BONSUCESSO,Branca,Cisgênera,Lésbica,Não,Financeiro,Estagiária,"Não estou procurando novo emprego/estágio/etc., mas aceito receber propostas",Estagiária de BI,Menos de 1 salário mínino ( < 1.412),1 ano a 2 anos,Sim,menos de 1 ano,Não se aplica,Júnior,Análise/Visualização de Dados;Desenvolvimento Web,"SQL, POWER BI","Redes Sociais (Instagram, Facebook e etc)",Não,NETWORKING,COMPARTILHANDO MINHA EXPERIENCIA COM NOVAS PESSOAS DE FORMA A ENCORAJAR E INCLUIR AS MULHERES NA TECNOLOGIA,1 evento por ano,Workshops;Palestras;Tutoriais,Análise/Visualização de Dados;IoT;Automatização ,"Sim, tendo apoio e divindindo espaço da apresentação com outra pessoa",SQL,Workshops,"Sim, como mentora e mentorada",Não,Prefiro não informar,"⚽ (futebol, representando interesses esportivos);🍳 (culinária, para quem gosta de cozinhar)",EU REALMENTE SINTO QUE OS HOMENS ACHAM QUE SABEM MAIS AO TEMPO QUE NAO DEMANDAM TAREFAS PARA MULHERES COM MEDO DE NAO DARMOS CONTA OU MEDO DE PERDER A POSICAO,ACHO QUE FALTA MAIS ASSUNTO SOBRE A LINGUAGEM DE PYTHON EM SI,"Individuais, mas trabalho bem em equipe. Acho que so pelo fato de poder trabalhar no meu tempo, seja rápido ou lento, mas no meu tempo, sem distrações.","Sim, autorizo!","Sim, autorizo!",42d319c01bca50964f52fef555f4f7cf6e15823acee6f35070fa9d4808eeaa76,1faeb8f133cb50f4f6aafef0894e3ffd35314673ce15dc14902384d5640ac2b5,0c715ec555fb4e994bd733b2052befea56d365087f0badcb5068e5fe8fe15d13
18/10/1991,Sim,Entre 31 e 40 anos,Pós-Graduação Stricto Sensu (Mestrado/Doutorado/Pós-Doutorado) - concluído,CAUCAIA/ARATURI,Preta,Cisgênera,Assexual;Lésbica,Não,Sim,Não trabalho e estou buscando um emprego/estágio,nula,Cientista de Dados,Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),Mais de 4 anos,Sim,Mais de 4 anos,Não se aplica,Não sei definir,Análise/Visualização de Dados;Big Data;Data Science;Desenvolvimento Web;Machine Learning,Android,"Redes Sociais (Instagram, Facebook e etc)","Sim, como organizadora",NULA,NULA,Entre 1 a 3 eventos por ano,Atividades lúdicas e recreativas;Workshops;Palestras;Tutoriais,Análise/Visualização de Dados;Big Data;Data Science;Machine Learning,Talvez,Ciência de Dados e Machine Learning,nula,Talvez,Não,Não,"🎨 (arte, representando interesses criativos);📚 (livros, representando interesses em leitura);⚽ (futebol, representando interesses esportivos);🎶 (música, para interesses musicais);🌍 (viagens, para interesses em explorar o mundo);🎮 (jogos, para quem curte videogames)",NULA,NULA,Individuais,"Sim, autorizo!","Sim, autorizo!",20f854ffb79a55ce179c2753ac51b72588465231d23cc0cf0e05ec86b1b5831e,001b9d2abd4b49daf5fe4c0899d280334428a9bd684e8430781859e5265c51df,cff9c30929abc4c564156893ecb6e593ce531e6867190cd07dd00cf4376d9243
15/08/2006,Não,Entre 18 e 24 anos,Ensino Médio/Técnico (cursando ou concluído),FORTALEZA/AUTRAN NUNES ,Preta,Cisgênera,Prefiro não informar,Não,Ainda estou iniciando no mercado de trabalho ,Funcionária de empresa privada (CLT/PJ),"Não estou procurando novo emprego/estágio/etc., mas aceito receber propostas",Auxiliar administrativo ,Menos de 1 salário mínino ( < 1.412),menos de 1 ano,Não,Não se aplica,Sim,Não sei definir,Nunca trabalhei ,Scract,Indicação de amiga(o),Não,DIRECIONAMENTO CONSELHOS E CONHECIMENTO,NAO SEI AO CERTO,nula,Atividades lúdicas e recreativas;Workshops;Palestras;Tutoriais,Análise/Visualização de Dados;Big Data;Data Science;Desenvolvimento Web;IoT;Jogos;Machine Learning;Segurança;Testes;Web scrapping,Não,nula,Não sei,"Sim, como mentorada",Não ,Prefiro não informar,"🎨 (arte, representando interesses criativos);📚 (livros, representando interesses em leitura);⚽ (futebol, representando interesses esportivos);🎶 (música, para interesses musicais);🌍 (viagens, para interesses em explorar o mundo);🎮 (jogos, para quem curte videogames)",NAO SEI AINDA INEXPERIENTE,NAO SEI,"Não faz muita diferença, mas equipe é mais desgastante ","Sim, autorizo!","Sim, autorizo!",5bcd17324d39602abefea9baa414981e185801b79dd91505782bc20529672559,0b980ee39c3e2d65855e554d78ec9386f9f17130c90114b6035cbee7ec2698ed,0684c7228a53bba51a89ea98fc246fac03d66e5644c445f7ceed9f59a3ab4050
20/02,Sim,Entre 31 e 40 anos,Graduação - concluído,COAÇU/FORTALEZA,Branca,Cisgênera,Bissexual,Não,Não. Sou formada em Administração de Empresas.,Funcionária de empresa privada (CLT/PJ),Estou buscando ativamente novo emprego/estágio/etc.,Administração de Empresas/Gestão Pública.,Entre 3 salários míninos a 7 salários míninos ( >= 4.236 e < 9.884 ),menos de 1 ano,Não,Não se aplica,Sim,Não se aplica,Não se aplica,"Css, Javascript.","Redes Sociais (Instagram, Facebook e etc)",Não,INTEGRACAO OPORTUNIDADE CONHECIMENTO,NO MOMENTO SOU APTA A CONTRIBUIR NA GESTAO ADMINISTRATIVA E DE EVENTOS,nula,Atividades lúdicas e recreativas;Workshops;Palestras;Tutoriais,Análise/Visualização de Dados;Data Science;Desenvolvimento Web;IoT;Jogos;Machine Learning;Testes;Web scrapping,Não,nula,nula,"Sim, como mentorada",Não.,Sim,"🎶 (música, para interesses musicais);🌍 (viagens, para interesses em explorar o mundo)",EM SALA DE AULA SER VISTA DE IGUAL PARA IGUAL NEM SEMPRE SINTO QUE NOSSAS PERGUNTAS SAO OUVIDAS E VALIDADAS COM O MESMO INTERESSE DE QUANDO PARTEM DO SEXO MASCULINO NO MERCADO IGUALDADE PRECISAMOS SER X MAIS CAPAZES PARA CONSEGUIR CHEGAR NO MESMO PATAMAR FINANCEIRO E GERENCIAL DE UM HOMEM,APOIO MAIS EFETIVO NAS LINGUAGENS ALEM DO PYTHON APOIO PARA DESENVOLVIMENTO DE CARREIRA,"Depende muito da integração e interesse da equipe, a partir disso consigo desenvolver bem de ambas as formas.","Sim, autorizo!","Sim, autorizo!",3b95b096c3ec02e61c56ff42ba877150c0f7fc301ae034c08a8ee364408a674b,cda1302f8e5878b6db43e0f515be7d3dae4d8a6d53861d74d9a0fb4fc3a04d0e,342c1533dc574e2d523cb8ab27da68e333a18504871aa1056c0f7aee9456e96c
02/02,Sim,Entre 31 e 40 anos,Graduação - cursando,Fortaleza - Itaperi ,Branca,Cisgênera,Bissexual,Sim e sou a única responsável por eles,Vendas e Administração ,Estagiária,Estou buscando ativamente novo emprego/estágio/etc.,nula,Menos de 1 salário mínino ( < 1.412),1 ano a 2 anos,Sim,menos de 1 ano,Sim,Júnior,Análise/Visualização de Dados;Big Data;Data Science;Machine Learning;Testes,nula,"Redes Sociais (Instagram, Facebook e etc)","Sim, como participante",PARTICIPAR DE UMA COMUNIDADE,INTERAGINDO,Entre 1 a 3 eventos por ano,Atividades lúdicas e recreativas;Workshops,Análise/Visualização de Dados;Big Data;Data Science;Machine Learning;Testes,Não,nula,nula,"Sim, como mentorada",Não ,Não,"🎨 (arte, representando interesses criativos);⚽ (futebol, representando interesses esportivos);🍳 (culinária, para quem gosta de cozinhar)",NULA,NULA,nula,"Sim, autorizo!","Sim, autorizo!",7e1e9e9cbbd3416c14e232b3f68075fa39435143a2d20cd1d4d698aaba7d6508,cf682fbd1207dd0d68e0af37ca1c75a80e9690ae026492a55320aea8ae28bb89,2a64654a718a359594e2519a5fc6e7237c3687362b08960b3f4c5957e196b8c2
1804,Não,Entre 31 e 40 anos,Pós-Graduação Stricto Sensu (Mestrado/Doutorado/Pós-Doutorado) - concluído,CASTELÃO,Preta,Cisgênera,Heterossexual,Não,ADMINISTRAÇÃO,Funcionária de empresa pública (concursada),Não quero mudar de emprego/estágio/etc.,ANALISTA ADMINISTRATIVA,Acima de 7 salários míninos ( >= 9.884 ),Não se aplica,Não,Não se aplica,Talvez,Não se aplica,Não se aplica,NENHUMA,SYMPLA,Não,NAO SEI,SENDO APRENDIZ,1 evento por ano,Workshops;Palestras;Tutoriais,Análise/Visualização de Dados;Big Data;Data Science,Não,NENHUM,DEMONSTRAÇÕES,Não,NÃO,Não,"📚 (livros, representando interesses em leitura);🎶 (música, para interesses musicais);🍳 (culinária, para quem gosta de cozinhar);🌍 (viagens, para interesses em explorar o mundo)",NAO SOU DA AREA,NAO SEI,Individuais porque termina logo e não precisa ceder a vontade do outro.,"Sim, autorizo!","Sim, autorizo!",6d167c5f0beb961a572611e04eb9f5cbfcd2fa2a606dcad484dfd30e042453ba,71fb34cbcc6c231da3c8569efeba2421f538c7c28bd64c98be62a44a1b175034,99995ec309c75f9a5d34f741ba3b916e1a57698a3dbde0bd01c4add6c2f87bdb
02/08/2001,Sim,Entre 18 e 24 anos,Graduação - cursando,FORTALEZA/LUCIANO CAVALCANTE ,Branca,Cisgênera,Heterossexual,Não,Sim,Não trabalho e estou buscando um emprego/estágio,Não se aplica,Engenharia de Computação ,Menos de 1 salário mínino ( < 1.412),2 a 4 anos,Sim,1 ano a 2 anos,Não se aplica,Júnior,Análise/Visualização de Dados;Trabalhos de disciplinas da faculdade ,"HTML, CSS, JAVASCRIPT, C, FIGMA,","Redes Sociais (Instagram, Facebook e etc)",Não,APRENDER TER NOVAS EXPERIENCIAS E CONHECER PESSOAS NOVAS,NULA,1 evento por ano,Atividades lúdicas e recreativas;Workshops;Palestras,Análise/Visualização de Dados;Data Science;Desenvolvimento Web;Machine Learning;Segurança;Testes,"Sim, tendo apoio e divindindo espaço da apresentação com outra pessoa",Banco de dados,Talvez encontros semanais ou quinzenais,"Sim, como mentora e mentorada",Nao ,Sim,"🎨 (arte, representando interesses criativos);📚 (livros, representando interesses em leitura);🎶 (música, para interesses musicais)",PROVAVELMENTE ME ENTURMAR NUMA EQUIPE MAJORITARIAMENTE MASCULINA,NULA,Equipe. Eu gosto de debater sobre o projeto e conhecer pessoas durante esses trabalhos.,"Sim, autorizo!","Sim, autorizo!",71094cc26590886343c645a4cc071cf5121bd95ac6b907ccf3757ac53607ed98,7cd27755fad1e70f86eeb5d4b0702f8f642dd934866847fd366f64472ed911db,b3b1e03957ab421ccbdacf17b75158742ba6a4ab88203a0ea8bc615b8ffbb9f2
04/03,Sim,Entre 31 e 40 anos,Pós-Graduação Stricto Sensu (Mestrado/Doutorado/Pós-Doutorado) - concluído,CIDADE DOS FUNCIONÁRIOS ,Branca,Cisgênera,Heterossexual,Não,Fisioterapia,Não trabalho e estou buscando um emprego/estágio,Estou buscando ativamente novo emprego/estágio/etc.,Cientista de dados,Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),2 a 4 anos,Sim,2 a 4 anos,Não se aplica,Pleno,Análise/Visualização de Dados;Big Data;Data Science;Desenvolvimento Web;Machine Learning,"SQL, power BI",Indicação de amiga(o),"Sim, como participante",QUE NOS POSSAMOS NOS AJUDAR MUTUAMENTE FORTALECENDO E AMPLIANDO A IDEIA DA MULHER PIONEIRA DA SUA VIDA E IDEALIZADORA DOS SEUS PROPRIOS CAMINHOS,AJUDANDO OUTRAS MULHERES A CONTINUAR NA JORNADA DA TECNOLOGIA,Entre 1 a 3 eventos por ano,Workshops;Palestras;Tutoriais,Análise/Visualização de Dados;Big Data;Data Science;Desenvolvimento Web;Machine Learning,Não,nula,Nada. Nós já somos perfeitas!,Talvez,Não ,Não,"🌍 (viagens, para interesses em explorar o mundo)",TER QUE CONSTANTEMENTE PROVAR QUE EU SOU TAMBEM POSSO SER BOA NO QUE FACO MESMO SENDO MULHER,TALVEZ SE A COMUNIDADE BUSCASSE MOSTRAR O TRABALHO QUE VEM SENDO FEITO COM OUTRAS MULHERES PODERIA SER UMA REFERENCIA ONDE EMPRESAS POSSAM IR BUSCAR PROFISSIONAIS,Tanto faz. ,"Sim, autorizo!","Sim, autorizo!",1323fd6fdf148c0893d253b399d2075cd14225bdd0553611c266649bbb0587fe,4ab68ef16ca1cd96e52541e025a8cb56ae5e21f896b99bab7a863c196c7b6127,a03a772b0571f0a9b166e4d46188c41debb0e358266ba5571f2613d305cad24c
24/03/2001,Não,Entre 18 e 24 anos,Graduação - cursando,DIONÍSIO TORRES/FORTALEZA,Parda,Cisgênera,Heterossexual,Não,"Sim, iniciei na t.i",Aprendiz em área de rh,Estou buscando ativamente novo emprego/estágio/etc.,Assistente de DP,Menos de 1 salário mínino ( < 1.412),1 ano a 2 anos,Não,Não se aplica,Sim,Não sei definir,Não se aplica,"Nenhuma
",Indicação de amiga(o),Não,MUITA INTERACAO E TROCA DE CONHECIMENTOS,NESSE MOMENTO COMO SOU UMA INICIANTE NAO DIRIA QUE CONSIGO CONTRIBUIR TANTO COM CONHECIMENTOS MAS SIM QUE A COMUNIDADE ME AJUDARIA BASTANTE COM A TROCA DE EXPERIENCIAS MAS POSSIVELMENTE SEMPRE QUE DESSE EU COMPARTILHO DE INDICACOES DE COISAS QUE TALVEZ A GALERA DO GRUPO SE INTERESSASSE RELACIONADAS A AREA DA TI E ESTOU PROCURANDO ME ENGAJAR MAIS COM AS PESSOAS DA AREA,nula,Atividades lúdicas e recreativas;Workshops;Palestras;Tutoriais,Big Data;Desenvolvimento Web;IoT;Jogos;Segurança,Não,nula,"Estou aberta a coisas novas, não tenho uma opinião ainda, porque acabei de chegar, mas espero que as pessoas abracem mesmo quem não tem tantos conhecimentos a trocar, que não seja o expert ",Talvez,Não ,Não,"🎨 (arte, representando interesses criativos);⚽ (futebol, representando interesses esportivos);🍳 (culinária, para quem gosta de cozinhar);🌍 (viagens, para interesses em explorar o mundo);🎮 (jogos, para quem curte videogames)",SINTO FALTA DE AMIZADES NAO SO FEMININAS E QUE COMPARTILHEM DO MESMO INTERESSE PELA AREA DE TI,NULA,nula,"Sim, autorizo!","Sim, autorizo!",5544231efe71bc2faa2c987a445548851059a269c57a32e3717af93fcd3f2ff5,4be67442c008eba09a3561bb446ea55991cdcfc5e4cdb567e8efe3667cc74ced,19a2991a47b72b58a854171467046e8e78f59505214dccbd22dc6b8d26ced092
06/11,Sim,Entre 31 e 40 anos,Graduação - cursando,FORTALEZA/ SÃO JOÃO DO TAUÁPE ,Preta,Cisgênera,Lésbica,Não,Não. Sou musicista ,Funcionária de empresa pública (concursada),Estou buscando ativamente novo emprego/estágio/etc.,"Análise e desenvolvimento de software ( faculdade), Ciência de dados ( foco na atuação)",Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),1 ano a 2 anos,Sim,1 ano a 2 anos,Sim,Não sei definir,Análise/Visualização de Dados;Data Science;Machine Learning,"HTML, Css e Javascript ",Indicação de amiga(o),Não,NETWORKING TROCA DE CONHECIMENTOS AMIZADES OPORTUNIDADES DE TRABALHOS E CONTRIBUIR COM A COMUNIDADE COM AS HABILIDADES QUE POSSUO E O QUE EU PUDER AJUDAR,POSSO AJUDAR A ORGANIZAR EVENTOS CONTRIBUIR COM IDEIAS PARA PROJETOS RODA DE CONVERSAS IDEIAS ARTISTICAS PESQUISA PROJETOS ESTUDOS,Entre 1 a 3 eventos por ano,Workshops;Tutoriais,Análise/Visualização de Dados;Big Data;Data Science;Machine Learning;Segurança,Sim,"Gosto de informar a comunidade. Exemplo comunicar sobre como evitar golpes, crimes virtuais, proteção de dados, ferramentas tecnologias para educação ou produtividade do dia a dia.","Estudos ou pesquisa de planejamento de carreira, elaboração de currículo e etc.","Sim, como mentorada",Não ,Sim,"🎨 (arte, representando interesses criativos);📚 (livros, representando interesses em leitura);🎶 (música, para interesses musicais);🌍 (viagens, para interesses em explorar o mundo);🎮 (jogos, para quem curte videogames)",COMPETITIVIDADE FALTA DE REPRESENTATIVIDADE EM ALGUNS MOMENTOS E MACHISMO,GRUPO DE ESTUDOS,Equipe. Gosto de trocar conhecimentos e aprender com os mais experientes.,"Sim, autorizo!","Sim, autorizo!",7edf9217333d8e5697576e987fa787d5f430122eb481073a7dcb7e5438c563ba,d2648f5a41a514888c04d721aa8c54a1f7fae511c3822a6bc597566dbb741785,226344f22588e7ebc9d74b0dd87f66073eba6e749fc29046deb28dd42e6561ca
17/04,Não,Entre 18 e 24 anos,Graduação - incompleto,Fortaleza/Bonsucesso,Parda,Cisgênera,Heterossexual,Não,Sempre fui,Funcionária de empresa privada (CLT/PJ),"Não estou procurando novo emprego/estágio/etc., mas aceito receber propostas",QA,Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),2 a 4 anos,Sim,1 ano a 2 anos,Não se aplica,Júnior,Testes,"Php, HTML, CSS, JS e SQL.",Indicação de amiga(o),"Sim, como participante",UM GRUPO QUE SE APOIE COMO PROFISSIONAIS E COMO MULHERES E HOJE EM DIA ESTA DE ACORDO COM O QUE A COMUNIDADE E,COMPARTILHANDO CONHECIMENTO E APOIANDO AS COLEGAS,1 evento por ano,Atividades lúdicas e recreativas;Palestras,Desenvolvimento Web;Segurança;Testes,Talvez,"1- Automação com ROBOT
2- Como iniciar na área de teste
3- Como utilizar a IA para o dia a dia para facilitar os testes.",Rodas de conversa,"Sim, como mentorada",GDG Fortaleza,Sim,"🍳 (culinária, para quem gosta de cozinhar);🌍 (viagens, para interesses em explorar o mundo);🎮 (jogos, para quem curte videogames)",NAO TER VOZ ATIVA E NAO SER ESCUTADA,NULA,"
Equipe, acredito que, assim como quem desenvolve não deve testar o próprio trabalho para evitar vieses, em projetos individuais também não evoluímos tanto quanto em equipe, pois deixamos de compartilhar e aprender com as experiências coletivas do time.","Sim, autorizo!","Sim, autorizo!",015478fd60a402c71d2cf4d73d367a13a2c596b4f531ef4291d68e66aec18c16,ca3e049df336ec64265d55a1ae814b128261c50def1efafa06602c7b560011c4,0c8ef925e2a62ec1067e3ff5d8e1e7d042b09597050d3cd6a692b44c43fa78a9
08/04/1995,Sim,Entre 25 e 30 anos,Graduação - cursando,MARACANAÚ/BOA ESPERANÇA,Parda,Cisgênera,Pansexual,Não,Logística,Não trabalho e estou buscando um emprego/estágio,Estou buscando ativamente novo emprego/estágio/etc.,ANALISTA DE LOGÍSTICA JÚNIOR,Entre 1 salário mínino a 3 salários míninos ( >= 1.412 e < 4.236 ),1 ano a 2 anos,Sim,Não se aplica,Sim,Júnior,Não se aplica,nula,Indicação de amiga(o),Não,ESPERO ENCONTRAR MULHERES COM A MESMA META TANTO NO AMBITO PROFISSIONAL QUANTO NO INTELECTUAL E TAMBEM DE VIDA PESSOAL E PODE COLABORAR COM A COMUNIDADE E OBTER NOVOS SABERES,POSSO CONTRIBUIR COM O CONHECIMENTO QUE JA ADQUIRI ALEM DE PROMOVER O ENVOLVIMENTO COM A COMUNIDADE POSSO ENGAJARME EM TODAS AS CAMPANHAS E COLABORAR COM A COMUNIDADE PARA O BEM COMUM,"Todos, não falto um, fã de carteirinha PYLADIES TE AMO",Atividades lúdicas e recreativas;Workshops;Palestras;Tutoriais,Análise/Visualização de Dados;Big Data;Data Science;Desenvolvimento Web;Jogos;Machine Learning;Segurança,Sim,"- Ética em computação
- Inovação em Soluções Computacionais
- Python
",nula,"Sim, como mentora e mentorada",DIO ( plataforma open education) e Comunidade da Faculdade Unifor ADS,Não,"🎨 (arte, representando interesses criativos);📚 (livros, representando interesses em leitura);⚽ (futebol, representando interesses esportivos);🎶 (música, para interesses musicais);🍳 (culinária, para quem gosta de cozinhar);🌍 (viagens, para interesses em explorar o mundo);🧘‍♀️ (bem-estar, para práticas como yoga);🎮 (jogos, para quem curte videogames)",CREIO QUE AS MULHERES TENDEM A SER MAIS METICULOSAS E NOS COBRAR MAIS PORTANTO NAO NOS CANDIDATAMOS A UMA POSICAO POR NAO NOS CONSIDERARMOS ADEQUADAS O SUFICIENTE,NULA,Prefiro realizar projetos em equipe e rotina de estudos individual. ,"Sim, autorizo!","Sim, autorizo!",8aacdecc73127347574571b8a53409493b9ad6cda861914fe200f4fa4c49b3aa,910e36f9fc309b003e85f60e5187afde2e5703a1347800a1ea0a66faa7fd0b02,0352879d750a7f077e2ebbac3499f9ffca9aff2bda2edbf22726a41eec48ad96
